Ladetype;Anzahl_Ladesaeulen_rel;Ladequote
MCS;0.46;0.8009427414690574
MCS;0.47;0.8183545401966454
MCS;0.48;0.8357663389242337
MCS;0.49;0.8224342105263158
MCS;0.5;0.83921858216971
MCS;0.51;0.8560029538131042
MCS;0.52;0.8401127819548873
MCS;0.53;0.8562687969924813
MCS;0.54;0.8724248120300753
MCS;0.55;0.8885808270676692
MCS;0.56;0.8703947368421053
MCS;0.57;0.8859374999999998
MCS;0.58;0.9014802631578946
MCS;0.59;0.9170230263157894
MCS;0.6;0.893830163644405
MCS;0.61;0.9087273330384784
MCS;0.62;0.9236245024325518
MCS;0.63;0.9005921052631579
MCS;0.64;0.9148872180451127
MCS;0.65;0.9291823308270677
MCS;0.66;0.9434774436090226
MCS;0.67;0.9198911753066878
MCS;0.68;0.933620894341116
MCS;0.69;0.947350613375544
MCS;0.7;0.9610803324099721
MCS;0.71;0.9359788533834587
MCS;0.72;0.9491616541353383
MCS;0.73;0.9623444548872181
MCS;0.74;0.9755272556390977
MCS;0.75;0.9479726100966702
MCS;0.76;0.960612244897959
MCS;0.77;0.9732518796992481
MCS;0.78;0.9455767259056733
MCS;0.79;0.9576995044429255
MCS;0.8;0.9698222829801778
MCS;0.81;0.98194506151743
MCS;0.82;0.9553710362863681
MCS;0.83;0.9670219025825433
MCS;0.84;0.9786727688787186
MCS;0.85;0.9903236351748939
MCS;0.86;0.9638627819548872
MCS;0.87;0.9750704887218045
MCS;0.88;0.9862781954887219
MCS;0.89;0.9593932330827067
MCS;0.9;0.970172932330827
MCS;0.91;0.9809526315789473
MCS;0.92;0.9917323308270677
MCS;0.93;0.9648615529207636
MCS;0.94;0.9752364083285138
MCS;0.95;0.985611263736264
MCS;0.96;0.995986119144014
MCS;0.97;0.97
MCS;0.98;0.98
MCS;0.99;0.99
MCS;1.0;1.0
