Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
260;2024-01-01 04:20:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
265;2024-01-01 04:25:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
270;2024-01-01 04:30:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
275;2024-01-01 04:35:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
280;2024-01-01 04:40:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
285;2024-01-01 04:45:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
290;2024-01-01 04:50:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
295;2024-01-01 04:55:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
300;2024-01-01 05:00:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
305;2024-01-01 05:05:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
310;2024-01-01 05:10:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
315;2024-01-01 05:15:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
320;2024-01-01 05:20:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
325;2024-01-01 05:25:00;1000,0;1000;1000,0;0,0;0,0;p_max;51350,0;0,998320738874895
330;2024-01-01 05:30:00;934,0179403491019;1000;934,0179403491019;0,0;0,0;p_max;51350,0;0,998320738874895
335;2024-01-01 05:35:00;900,0;1000;900,0;0,0;0,0;p_max;51350,0;0,998320738874895
340;2024-01-01 05:40:00;767,2119766207943;1000;767,2119766207943;0,0;0,0;p_max;51350,0;0,998320738874895
345;2024-01-01 05:45:00;700,0;1000;700,0;0,0;0,0;p_max;51350,0;0,998320738874895
350;2024-01-01 05:50:00;1657,815431;2000;700,0;0,0;957,815431;p_max;51350,0;0,998320738874895
355;2024-01-01 05:55:00;1634,4815520000002;2000;700,0;0,0;934,4815520000001;p_max;51350,0;0,998320738874895
360;2024-01-01 06:00:00;1621,5014339999998;2000;700,0;0,0;921,5014339999999;p_max;51350,0;0,998320738874895
365;2024-01-01 06:05:00;1971,5014339999998;2350;700,0;350,0;921,5014339999999;p_max;51350,0;0,998320738874895
370;2024-01-01 06:10:00;1922,1060789999992;2350;700,0;350,0;872,1060789999992;p_max;51350,0;0,998320738874895
375;2024-01-01 06:15:00;1855,7193210000005;2350;700,0;350,0;805,7193210000005;p_max;51350,0;0,998320738874895
380;2024-01-01 06:20:00;1087,3925543588186;2350;700,0;350,0;37,39255435881864;p_max;51350,0;0,998320738874895
385;2024-01-01 06:25:00;1050,0;2350;700,0;350,0;0,0;p_max;51350,0;0,998320738874895
390;2024-01-01 06:30:00;1050,0;2350;700,0;350,0;0,0;p_max;51350,0;0,998320738874895
395;2024-01-01 06:35:00;757,0665262259676;1350;653,1824426995134;103,8840835264541;0,0;p_max;51350,0;0,998320738874895
