Ladetype;Anzahl_Ladesaeulen;Ladequote
NCS;1;0,017591339648173207
NCS;2;0,035182679296346414
NCS;3;0,05277401894451962
NCS;4;0,07036535859269283
NCS;5;0,08660351826792964
NCS;6;0,10148849797023005
NCS;7;0,11637347767253045
NCS;8;0,13125845737483086
NCS;9;0,14479025710419485
NCS;10;0,15696887686062247
NCS;11;0,16779431664411368
NCS;12;0,17726657645466848
NCS;13;0,18538565629228687
NCS;14;0,19350473612990526
NCS;15;0,20162381596752368
NCS;16;0,20974289580514208
NCS;17;0,2178619756427605
NCS;18;0,2259810554803789
NCS;19;0,23410013531799728
NCS;20;0,2422192151556157
NCS;21;0,2503382949932341
NCS;22;0,2584573748308525
NCS;23;0,2665764546684709
NCS;24;0,2746955345060893
NCS;25;0,2828146143437077
NCS;26;0,29093369418132614
NCS;27;0,29905277401894453
NCS;28;0,3071718538565629
NCS;29;0,3152909336941813
NCS;30;0,3234100135317997
NCS;31;0,33152909336941816
NCS;32;0,33964817320703655
NCS;33;0,34776725304465494
NCS;34;0,35588633288227334
NCS;35;0,36400541271989173
NCS;36;0,3721244925575101
NCS;37;0,38024357239512857
NCS;38;0,38836265223274696
NCS;39;0,39648173207036536
NCS;40;0,40460081190798375
NCS;41;0,41271989174560214
NCS;42;0,4208389715832206
NCS;43;0,428958051420839
NCS;44;0,4370771312584574
NCS;45;0,4438430311231394
NCS;46;0,4506089309878214
NCS;47;0,45737483085250336
NCS;48;0,46414073071718537
NCS;49;0,4709066305818674
NCS;50;0,4776725304465494
NCS;51;0,4844384303112314
NCS;52;0,4912043301759134
NCS;53;0,4979702300405954
NCS;54;0,5047361299052774
NCS;55;0,5115020297699594
NCS;56;0,5182679296346414
NCS;57;0,5250338294993234
NCS;58;0,5317997293640054
NCS;59;0,5385656292286874
NCS;60;0,5453315290933695
NCS;61;0,5520974289580515
NCS;62;0,5588633288227334
NCS;63;0,5656292286874154
NCS;64;0,5723951285520974
NCS;65;0,5791610284167794
NCS;66;0,5859269282814614
NCS;67;0,5926928281461434
NCS;68;0,5994587280108254
NCS;69;0,6062246278755075
NCS;70;0,6129905277401895
NCS;71;0,6197564276048715
NCS;72;0,6265223274695535
NCS;73;0,6332882273342354
NCS;74;0,6400541271989174
NCS;75;0,6468200270635994
NCS;76;0,6535859269282814
NCS;77;0,6603518267929634
NCS;78;0,6671177266576455
NCS;79;0,6738836265223275
NCS;80;0,6806495263870095
NCS;81;0,6874154262516915
NCS;82;0,6941813261163735
NCS;83;0,7009472259810555
NCS;84;0,7077131258457375
NCS;85;0,7144790257104194
NCS;86;0,7212449255751014
NCS;87;0,7280108254397835
NCS;88;0,7347767253044655
NCS;89;0,7415426251691475
NCS;90;0,7483085250338295
NCS;91;0,7550744248985115
NCS;92;0,7618403247631935
NCS;93;0,7686062246278755
NCS;94;0,7753721244925575
NCS;95;0,7821380243572396
NCS;96;0,7889039242219216
NCS;97;0,7956698240866035
NCS;98;0,8024357239512855
NCS;99;0,8092016238159675
NCS;100;0,8159675236806495
NCS;101;0,8227334235453315
NCS;102;0,8294993234100135
NCS;103;0,8362652232746955
NCS;104;0,8430311231393776
NCS;105;0,8497970230040596
NCS;106;0,8565629228687416
NCS;107;0,8633288227334236
NCS;108;0,8700947225981055
NCS;109;0,8768606224627875
NCS;110;0,8836265223274695
NCS;111;0,8903924221921515
NCS;112;0,8958051420838972
NCS;113;0,9012178619756428
NCS;114;0,9066305818673883
NCS;115;0,912043301759134
NCS;116;0,9174560216508796
NCS;117;0,9215155615696887
NCS;118;0,925575101488498
NCS;119;0,9296346414073072
NCS;120;0,9336941813261164
NCS;121;0,9377537212449256
NCS;122;0,9418132611637348
NCS;123;0,945872801082544
NCS;124;0,9499323410013532
NCS;125;0,9539918809201624
NCS;126;0,9580514208389715
NCS;127;0,9621109607577808
NCS;128;0,9661705006765899
NCS;129;0,9702300405953992
NCS;130;0,972936400541272
NCS;131;0,9756427604871448
NCS;132;0,9783491204330176
NCS;133;0,9810554803788903
NCS;134;0,9837618403247632
NCS;135;0,986468200270636
NCS;136;0,9891745602165088
NCS;137;0,9918809201623816
NCS;138;0,9945872801082544
NCS;139;0,9959404600811907
NCS;140;0,9972936400541272
NCS;141;0,9986468200270636
NCS;142;1,0
HPC;1;0,12953367875647667
HPC;2;0,23316062176165803
HPC;3;0,3281519861830743
HPC;4;0,4075993091537133
HPC;5;0,47668393782383417
HPC;6;0,540587219343696
HPC;7;0,5975820379965457
HPC;8;0,6459412780656304
HPC;9;0,689119170984456
HPC;10;0,7271157167530224
HPC;11;0,7616580310880829
HPC;12;0,7910189982728842
HPC;13;0,8203799654576857
HPC;14;0,846286701208981
HPC;15;0,8721934369602763
HPC;16;0,8946459412780656
HPC;17;0,9136442141623489
HPC;18;0,9309153713298791
HPC;19;0,9464594127806563
HPC;20;0,9585492227979274
HPC;21;0,9689119170984456
HPC;22;0,9775474956822107
HPC;23;0,9844559585492227
HPC;24;0,9879101899827288
HPC;25;0,9913644214162349
HPC;26;0,9948186528497409
HPC;27;0,9965457685664939
HPC;28;0,998272884283247
HPC;29;1,0
MCS;1;0,1099624060150376
MCS;2;0,20488721804511278
MCS;3;0,29041353383458646
MCS;4;0,3684210526315789
MCS;5;0,4426691729323308
MCS;6;0,5103383458646616
MCS;7;0,5733082706766918
MCS;8;0,6287593984962406
MCS;9;0,6776315789473685
MCS;10;0,724624060150376
MCS;11;0,7669172932330827
MCS;12;0,8045112781954887
MCS;13;0,8383458646616542
MCS;14;0,8703007518796992
MCS;15;0,8975563909774437
MCS;16;0,9210526315789473
MCS;17;0,9379699248120301
MCS;18;0,9530075187969925
MCS;19;0,9661654135338346
MCS;20;0,9765037593984962
MCS;21;0,9830827067669173
MCS;22;0,9877819548872181
MCS;23;0,9924812030075187
MCS;24;0,9962406015037594
MCS;25;0,9981203007518797
MCS;26;0,9990601503759399
MCS;27;1,0
