Ladetype;Anzahl_Ladesaeulen;Ladequote;Anzahl_Ladesaeulen_rel
NCS;1;0.0175913396481732;0.007042253521126761
NCS;2;0.0351826792963464;0.014084507042253521
NCS;3;0.0527740189445196;0.02112676056338028
NCS;4;0.0703653585926928;0.028169014084507043
NCS;5;0.0866035182679296;0.035211267605633804
NCS;6;0.10148849797023;0.04225352112676056
NCS;7;0.1163734776725304;0.04929577464788732
NCS;8;0.1312584573748308;0.056338028169014086
NCS;9;0.1447902571041948;0.06338028169014084
NCS;10;0.1569688768606224;0.07042253521126761
NCS;11;0.1677943166441136;0.07746478873239436
NCS;12;0.1772665764546684;0.08450704225352113
NCS;13;0.1853856562922868;0.09154929577464789
NCS;14;0.1935047361299052;0.09859154929577464
NCS;15;0.2016238159675236;0.1056338028169014
NCS;16;0.209742895805142;0.11267605633802817
NCS;17;0.2178619756427605;0.11971830985915492
NCS;18;0.2259810554803789;0.1267605633802817
NCS;19;0.2341001353179972;0.13380281690140844
NCS;20;0.2422192151556157;0.14084507042253522
NCS;21;0.2503382949932341;0.14788732394366197
NCS;22;0.2584573748308525;0.15492957746478872
NCS;23;0.2665764546684709;0.1619718309859155
NCS;24;0.2746955345060893;0.16901408450704225
NCS;25;0.2828146143437077;0.176056338028169
NCS;26;0.2909336941813261;0.18309859154929578
NCS;27;0.2990527740189445;0.19014084507042253
NCS;28;0.3071718538565629;0.19718309859154928
NCS;29;0.3152909336941813;0.20422535211267606
NCS;30;0.3234100135317997;0.2112676056338028
NCS;31;0.3315290933694181;0.21830985915492956
NCS;32;0.3396481732070365;0.22535211267605634
NCS;33;0.3477672530446549;0.2323943661971831
NCS;34;0.3558863328822733;0.23943661971830985
NCS;35;0.3640054127198917;0.24647887323943662
NCS;36;0.3721244925575101;0.2535211267605634
NCS;37;0.3802435723951285;0.2605633802816901
NCS;38;0.3883626522327469;0.2676056338028169
NCS;39;0.3964817320703653;0.2746478873239437
NCS;40;0.4046008119079837;0.28169014084507044
NCS;41;0.4127198917456021;0.2887323943661972
NCS;42;0.4208389715832206;0.29577464788732394
NCS;43;0.428958051420839;0.3028169014084507
NCS;44;0.4370771312584574;0.30985915492957744
NCS;45;0.4438430311231394;0.31690140845070425
NCS;46;0.4506089309878214;0.323943661971831
