Ladetype;Anzahl_Ladesaeulen;Ladequote;Anzahl_Ladesaeulen_rel
NCS;133;0.9810554803788905;0.9366197183098591
NCS;134;0.9837618403247632;0.9436619718309859
NCS;135;0.986468200270636;0.9507042253521126
NCS;136;0.9891745602165088;0.9577464788732394
NCS;137;0.9918809201623816;0.9647887323943662
NCS;138;0.9945872801082544;0.971830985915493
NCS;139;0.9959404600811907;0.9788732394366197
NCS;140;0.9972936400541272;0.9859154929577465
NCS;141;0.9986468200270636;0.9929577464788732
NCS;142;1.0;1.0
HPC;1;0.1295336787564766;0.034482758620689655
HPC;2;0.233160621761658;0.06896551724137931
HPC;3;0.3281519861830743;0.10344827586206896
HPC;4;0.4075993091537133;0.13793103448275862
HPC;5;0.4766839378238341;0.1724137931034483
HPC;6;0.540587219343696;0.20689655172413793
HPC;7;0.5975820379965457;0.2413793103448276
HPC;8;0.6459412780656304;0.27586206896551724
HPC;9;0.689119170984456;0.3103448275862069
HPC;10;0.7271157167530224;0.3448275862068966
HPC;11;0.7616580310880829;0.3793103448275862
HPC;12;0.7910189982728842;0.41379310344827586
HPC;13;0.8203799654576857;0.4482758620689655
HPC;14;0.846286701208981;0.4827586206896552
HPC;15;0.8721934369602763;0.5172413793103449
HPC;16;0.8946459412780656;0.5517241379310345
HPC;17;0.9136442141623488;0.5862068965517241
HPC;18;0.9309153713298792;0.6206896551724138
HPC;19;0.9464594127806564;0.6551724137931034
HPC;20;0.9585492227979274;0.6896551724137931
HPC;21;0.9689119170984456;0.7241379310344828
HPC;22;0.9775474956822108;0.7586206896551724
HPC;23;0.9844559585492229;0.7931034482758621
HPC;24;0.9879101899827288;0.8275862068965517
HPC;25;0.9913644214162348;0.8620689655172413
HPC;26;0.9948186528497408;0.896551724137931
HPC;27;0.996545768566494;0.9310344827586207
HPC;28;0.998272884283247;0.9655172413793104
HPC;29;1.0;1.0
MCS;1;0.1099624060150376;0.037037037037037035
MCS;2;0.2048872180451127;0.07407407407407407
MCS;3;0.2904135338345864;0.1111111111111111
MCS;4;0.3684210526315789;0.14814814814814814
MCS;5;0.4426691729323308;0.18518518518518517
MCS;6;0.5103383458646616;0.2222222222222222
MCS;7;0.5733082706766918;0.25925925925925924
MCS;8;0.6287593984962406;0.2962962962962963
MCS;9;0.6776315789473685;0.3333333333333333
MCS;10;0.724624060150376;0.37037037037037035
MCS;11;0.7669172932330827;0.4074074074074074
MCS;12;0.8045112781954887;0.4444444444444444
MCS;13;0.8383458646616542;0.48148148148148145
MCS;14;0.8703007518796992;0.5185185185185185
MCS;15;0.8975563909774437;0.5555555555555556
MCS;16;0.9210526315789472;0.5925925925925926
MCS;17;0.93796992481203;0.6296296296296297
MCS;18;0.9530075187969924;0.6666666666666666
MCS;19;0.9661654135338346;0.7037037037037037
MCS;20;0.9765037593984962;0.7407407407407407
MCS;21;0.9830827067669172;0.7777777777777778
MCS;22;0.987781954887218;0.8148148148148148
MCS;23;0.9924812030075189;0.8518518518518519
MCS;24;0.9962406015037594;0.8888888888888888
MCS;25;0.9981203007518796;0.9259259259259259
MCS;26;0.99906015037594;0.9629629629629629
MCS;27;1.0;1.0
