LKW_ID;Ladetyp;Zeit;Ladezeit;Leistung;Pplus;Pminus;SOC;z;Ladestrategie
1;NCS;10;0;100,0;100,0;0,0;0,1574076266349825;1,0;p_max
1;NCS;15;5;100,0;100,0;0,0;0,16732826155561742;1,0;p_max
1;NCS;20;10;100,0;100,0;0,0;0,17724889647625233;1,0;p_max
1;NCS;25;15;100,0;100,0;0,0;0,18716953139688725;1,0;p_max
1;NCS;30;20;100,0;100,0;0,0;0,19709016631752216;1,0;p_max
1;NCS;35;25;100,0;100,0;0,0;0,20701080123815707;1,0;p_max
1;NCS;40;30;100,0;100,0;0,0;0,21693143615879198;1,0;p_max
1;NCS;45;35;100,0;100,0;0,0;0,22685207107942706;1,0;p_max
1;NCS;50;40;100,0;100,0;0,0;0,23677270600006198;1,0;p_max
1;NCS;55;45;100,0;100,0;0,0;0,2466933409206969;1,0;p_max
1;NCS;60;50;100,0;100,0;0,0;0,25661397584133183;1,0;p_max
1;NCS;65;55;100,0;100,0;0,0;0,2665346107619668;1,0;p_max
1;NCS;70;60;100,0;100,0;0,0;0,2764552456826017;1,0;p_max
1;NCS;75;65;100,0;100,0;0,0;0,2863758806032366;1,0;p_max
1;NCS;80;70;100,0;100,0;0,0;0,29629651552387154;1,0;p_max
1;NCS;85;75;100,0;100,0;0,0;0,3062171504445064;1,0;p_max
1;NCS;90;80;100,0;100,0;0,0;0,31613778536514137;1,0;p_max
1;NCS;95;85;100,0;100,0;0,0;0,32605842028577625;1,0;p_max
1;NCS;100;90;100,0;100,0;0,0;0,3359790552064112;1,0;p_max
1;NCS;105;95;100,0;100,0;0,0;0,3458996901270461;1,0;p_max
1;NCS;110;100;100,0;100,0;0,0;0,355820325047681;1,0;p_max
1;NCS;115;105;100,0;100,0;0,0;0,3657409599683159;1,0;p_max
1;NCS;120;110;100,0;100,0;0,0;0,37566159488895084;1,0;p_max
1;NCS;125;115;100,0;100,0;0,0;0,385582229809585;1,0;p_max
1;NCS;130;120;100,0;100,0;0,0;0,39550286473021995;1,0;p_max
1;NCS;135;125;100,0;100,0;0,0;0,40542349965085483;1,0;p_max
